Year,Mo,Dy,Date1,Date2,Date3,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
2019,1,7,2019-1-7,7/1/2019,"Monday, 7 January 2019",,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,T,,,,,,,,1,,,,,,,,,,1,,
2019,5,7,2019-5-7,7/5/2019,"Tuesday, 7 May 2019",,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,T,,,,,,,,2,,,,,,,,,,2,,
2019,6,26,2019-6-26,26/6/2019,"Wednesday, 26 June 2019",,,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,,"P,T",,,,,2,1,14,3,,,,,,,2,1,14,3,,
2019,6,28,2019-6-28,28/6/2019,"Friday, 28 June 2019",,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,4,"A,P,T",,,,,,,,2,,,,,,,,,,2,,
2019,7,3,2019-7-3,3/7/2019,"Wednesday, 3 July 2019",,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,"P,T",1,1,,,1,1,,,,,1,1,,,1,1,,,,
2019,8,28,2019-8-28,28/8/2019,"Wednesday, 28 August 2019",5716,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,2,W,,,,,,,,,,,,,,,,,,,,
2019,12,9,2019-12-9,9/12/2019,"Monday, 9 December 2019",,,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,2,T,22,1,,,25,1,,,,,22,1,,,25,1,,,,
2020,1,12,2020-1-12,12/1/2020,"Sunday, 12 January 2020",,,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,4,T,39,1,,,,,67,4,4573,4,39,1,,,,,67,4,4573,4
2020,5,29,2020-5-29,29/5/2020,"Friday, 29 May 2020",5748,10501,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,"G,W, S",1,1,,,,,,,,,1,1,,,,,,,,
2021,3,5,2021-3-5,5/3/2021,"Friday, 5 March 2021",,,Sangay,Ecuador,Ecuador,-2.005,-78.341,5286,Stratovolcano,2,T,,,,,,,,2,,,,,,,,,,2,,
2021,3,1,"Monday, 1 March 2021",1/3/2021,"Monday, 1 March 2021",,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,1,"L,T",,,,,,,,1,,,,,,,,,,1,,
2021,4,9,2021-4-9,9/4/2021,"Friday, 9 April 2021",,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,,T,,,,,,,325,4,,,,,,,,,325,4,,
2021,5,22,2021-5-22,22/5/2021,"Saturday, 22 May 2021",,10545,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,2,"L,I,S",32,1,,,,,,3,5000,4,32,1,,,,,,3,5000,4
2021,9,19,2021-9-19,19/9/2021,"Sunday, 19 September 2021",,,La Palma,Canary Is,Spain,28.57,-17.83,2426,Stratovolcano,,L,1,1,,,,,900,4,1345,4,1,1,,,,,900,4,1345,4
2021,12,4,2021-12-4,4/12/2021,"Saturday, 4 December 2021",,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,T,51,1,9,1,169,3,20,3,,,45,1,9,1,169,3,20,3,,
2022,1,13,2022-1-13,13/1/2022,"Thursday, 13 January 2022",5827,,Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,-20.536,-175.382,114,Submarine volcano,,W,,,,,,,,,,,,,,,,,,,,
2022,1,15,2022-1-15,15/1/2022,"Saturday, 15 January 2022",5824,,Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,-20.536,-175.382,114,Submarine volcano,,W,,,,,,,,3,,,6,1,,,20,1,107.768,4,284,3
2022,1,16,2022-1-16,16/1/2022,"Sunday, 16 January 2022",5825,,Hunga Tonga-Hunga Ha'apai,Tonga-SW Pacific,Tonga,-20.536,-175.382,114,Submarine volcano,,W,,,,,,,,,,,,,,,,,,,,
2022,6,22,2022-6-22,22/6/2022,"Wednesday, 22 June 2022",,,Popocatepetl,Mexico,Mexico,19.023,-98.622,5393,Stratovolcano,2,P,1,1,,,,,,,,,1,1,,,,,,,,
